substrate,ko_gene,ko_gene_name,ko_type,ko_reaction,rescue_reaction,rescue_rxn_name,match_key,match_type,rescue_source,rescue_layer,rescue_gene_rule,rescued_biomass,wt_biomass,pct_rescue,n_rescue_variants,n_ko_reactions
D-Alanine,b1779,gapA,single,GAPD,GAPDHf; GAPDHh; GAPDHm,"Glyceraldehyde-3-phosphate dehydrogenase (NAD). flagellar; Glyceraldehyde 3-phosphate dehydrogenase (NAD), mitochondria; Glyceraldehyde 3-phosphate dehydrogenase (NAD)",ec:1.2.1.12,ec,universal_model,2,,0.36994,0.36994,100.0,3,1
D-Alanine,b1779,gapA,single,GAPD,GAPDH_nadp_hi; GAPDi_nadp,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating); Glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating),ec:1.2.1.59,ec,universal_model,2,,0.36994,0.36994,100.0,2,1
D-Alanine,b2779,eno,single,ENO,ENOf; ENOm; MNXR1898; MNXR74234,"kegg:R04206; rhea:10164; Enolase, mitochondria; Enolase, flagellar",ec:4.2.1.11,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.36994,0.36994,100.0,4,1
D-Alanine,b2926,pgk,single,PGK,MNXR4189; PGKf; PGKh; PGKm,"rhea:14801; Phosphoglycerate kinase, mitochondrial; Phosphoglycerate kinase, flagellar; Phosphoglycerate kinase, chloroplast",ec:2.7.2.3,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.36994,0.36994,100.0,4,1
D-Alanine,b3731,atpC,single,ATPS4rpp,ATPS4rpp_1,ATP synthase (four protons for one ATP) (periplasm),bigg:ATPS4rpp,bigg,universal_model,2,,0.36994,0.36994,100.0,1,1
D-Alanine,b3731,atpC,single,ATPS4rpp,ATPPHm; ATPS; ATPS3g; ATPS3m; ATPS3v; ATPS4m; ATPS4m_cho; ATPS4r; ATPSh; ATPasel; NTP1,"Nucleoside-triphosphatase (ATP); ATP synthase (four protons for one ATP); ATP synthase  mitochondrial; V-type ATPase, H+ transporting, lysosomal; ATP phosphohydrolase, mitochondria; ATPase  cytosolic; ATP synthase  Golgi Apparatus; ATP synthase  vacuole; ATP synthase",ec:3.6.3.14,ec,iJR904; iML1515; universal_model,1,b0650 or b4161,0.36994,0.36994,100.0,11,1
D-Alanine,b3732,atpD,single,ATPS4rpp,ATPS4rpp_1,ATP synthase (four protons for one ATP) (periplasm),bigg:ATPS4rpp,bigg,universal_model,2,,0.36994,0.36994,100.0,1,1
D-Alanine,b3732,atpD,single,ATPS4rpp,ATPPHm; ATPS; ATPS3g; ATPS3m; ATPS3v; ATPS4m; ATPS4m_cho; ATPS4r; ATPSh; ATPasel; NTP1,"Nucleoside-triphosphatase (ATP); ATP synthase (four protons for one ATP); ATP synthase  mitochondrial; V-type ATPase, H+ transporting, lysosomal; ATP phosphohydrolase, mitochondria; ATPase  cytosolic; ATP synthase  Golgi Apparatus; ATP synthase  vacuole; ATP synthase",ec:3.6.3.14,ec,iJR904; iML1515; universal_model,1,b0650 or b4161,0.36994,0.36994,100.0,11,1
D-Alanine,b3733,atpG,single,ATPS4rpp,ATPS4rpp_1,ATP synthase (four protons for one ATP) (periplasm),bigg:ATPS4rpp,bigg,universal_model,2,,0.36994,0.36994,100.0,1,1
D-Alanine,b3733,atpG,single,ATPS4rpp,ATPPHm; ATPS; ATPS3g; ATPS3m; ATPS3v; ATPS4m; ATPS4m_cho; ATPS4r; ATPSh; ATPasel; NTP1,"Nucleoside-triphosphatase (ATP); ATP synthase (four protons for one ATP); ATP synthase  mitochondrial; V-type ATPase, H+ transporting, lysosomal; ATP phosphohydrolase, mitochondria; ATPase  cytosolic; ATP synthase  Golgi Apparatus; ATP synthase  vacuole; ATP synthase",ec:3.6.3.14,ec,iJR904; iML1515; universal_model,1,b0650 or b4161,0.36994,0.36994,100.0,11,1
